country,rdi,christian,muslim,unaffiliated,hindu,buddhist,folk,other,jewish,population
Reunion,2.6,0.876,0.042,0.02,0.045,0.002,0.004,0.011,0.0,850000
Romania,0.1,0.995,0.003,0.001,0.0,0.0,0.0,0.0,0.0,21490000
Russia,4.9,0.733,0.1,0.162,0.0,0.001,0.002,0.0,0.002,142960000
Rwanda,1.4,0.934,0.018,0.036,0.0,0.0,0.01,0.002,0.0,10620000
Samoa,0.7,0.968,0.0,0.025,0.0,0.0,0.0,0.004,0.0,180000
San Marino,1.8,0.916,0.0,0.072,0.0,0.0,0.0,0.009,0.003,30000
Sao Tome and Principe,3.5,0.822,0.0,0.126,0.0,0.0,0.029,0.024,0.0,170000
Saudi Arabia,1.5,0.044,0.93,0.007,0.011,0.003,0.003,0.003,0.0,27450000
Senegal,0.8,0.036,0.964,0.0,0.0,0.0,0.0,0.0,0.0,12430000
Serbia,1.6,0.925,0.042,0.033,0.0,0.0,0.0,0.0,0.0,7770000
Seychelles,1.3,0.94,0.011,0.021,0.021,0.0,0.0,0.006,0.0,90000
Sierra Leone,4.0,0.209,0.78,0.001,0.0,0.0,0.008,0.0,0.0,5870000
Singapore,9.0,0.182,0.143,0.164,0.052,0.339,0.023,0.097,0.0,5090000
Slovakia,2.9,0.853,0.002,0.143,0.0,0.0,0.0,0.0,0.0,5460000
Slovenia,4.0,0.784,0.036,0.18,0.0,0.0,0.0,0.0,0.0,2030000
Solomon Islands,0.6,0.974,0.0,0.002,0.0,0.003,0.013,0.007,0.0,540000
Somalia,0.1,0.0,0.998,0.0,0.0,0.0,0.0,0.0,0.0,9330000
South Africa,3.6,0.812,0.017,0.149,0.011,0.002,0.004,0.003,0.001,50130000
South Korea,7.4,0.294,0.002,0.464,0.0,0.229,0.008,0.002,0.0,48180000
South Sudan,6.0,0.605,0.062,0.005,0.0,0.0,0.329,0.0,0.0,9950000
Spain,3.9,0.786,0.021,0.19,0.0,0.0,0.0,0.0,0.001,46080000
Sri Lanka,5.6,0.073,0.098,0.0,0.136,0.693,0.0,0.0,0.0,20860000
St. Helena,0.8,0.965,0.0,0.033,0.0,0.0,0.0,0.002,0.0,10000
St. Kitts and Nevis,1.2,0.946,0.003,0.016,0.015,0.0,0.013,0.008,0.0,50000
St. Lucia,1.9,0.911,0.001,0.06,0.003,0.0,0.005,0.02,0.0,170000
St. Pierre and Miquelon,1.2,0.947,0.002,0.038,0.0,0.0,0.0,0.013,0.0,10000
St. Vincent and the Grenadines,2.4,0.887,0.015,0.025,0.034,0.0,0.02,0.02,0.0,110000
Sudan,2.0,0.054,0.907,0.01,0.0,0.0,0.028,0.0,0.0,33600000
Suriname,7.6,0.516,0.152,0.054,0.198,0.006,0.053,0.018,0.002,520000
Swaziland,2.4,0.881,0.002,0.101,0.001,0.0,0.01,0.004,0.0,1190000
Sweden,5.4,0.672,0.046,0.27,0.002,0.004,0.002,0.002,0.001,9380000
Switzerland,3.7,0.813,0.055,0.119,0.004,0.004,0.0,0.001,0.003,7660000
Syria,1.6,0.052,0.928,0.02,0.0,0.0,0.0,0.0,0.0,20410000
Taiwan,8.2,0.055,0.0,0.127,0.0,0.213,0.442,0.162,0.0,23220000
Tajikistan,0.7,0.016,0.967,0.015,0.0,0.0,0.0,0.0,0.0,6880000
Tanzania,5.7,0.614,0.352,0.014,0.001,0.0,0.018,0.0,0.0,44840000
Thailand,1.5,0.009,0.055,0.003,0.001,0.932,0.0,0.0,0.0,69120000
Timor-Leste,0.1,0.996,0.001,0.0,0.0,0.0,0.001,0.0,0.0,1120000
Togo,7.5,0.437,0.14,0.062,0.0,0.0,0.356,0.006,0.0,6030000
Tokelau,0.0,0.998,0.0,0.0,0.0,0.0,0.0,0.002,0.0,10000
Tonga,0.3,0.989,0.0,0.0,0.001,0.0,0.0,0.009,0.0,100000
Trinidad and Tobago,5.8,0.659,0.059,0.019,0.227,0.003,0.019,0.014,0.0,1340000
Tunisia,0.1,0.002,0.995,0.002,0.0,0.0,0.0,0.0,0.0,10480000
Turkey,0.4,0.004,0.98,0.012,0.0,0.0,0.0,0.002,0.0,72750000
Turkmenistan,1.5,0.064,0.93,0.005,0.0,0.0,0.0,0.0,0.0,5040000
Turks and Caicos Islands,1.7,0.921,0.0,0.046,0.0,0.0,0.027,0.006,0.0,40000
Tuvalu,0.7,0.967,0.001,0.013,0.0,0.0,0.0,0.019,0.0,10000
U.S. Virgin Islands,1.1,0.948,0.001,0.037,0.004,0.0,0.0,0.006,0.003,110000
Uganda,2.7,0.867,0.115,0.005,0.003,0.0,0.009,0.001,0.0,33420000
Ukraine,3.1,0.838,0.012,0.147,0.0,0.0,0.0,0.0,0.001,45450000
United Arab Emirates,4.4,0.126,0.769,0.011,0.066,0.02,0.0,0.008,0.0,7510000
United Kingdom,5.1,0.711,0.044,0.213,0.013,0.004,0.003,0.008,0.005,62040000
United States,4.1,0.783,0.009,0.164,0.006,0.012,0.002,0.006,0.018,310380000
Uruguay,5.7,0.579,0.0,0.407,0.0,0.0,0.008,0.003,0.003,3370000
Uzbekistan,0.7,0.023,0.967,0.008,0.0,0.0,0.0,0.0,0.0,27440000
Vanuatu,1.5,0.933,0.0,0.012,0.0,0.0,0.041,0.014,0.0,240000
Vatican City,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000
Venezuela,2.2,0.893,0.003,0.1,0.0,0.0,0.002,0.0,0.0,28980000
Vietnam,7.7,0.082,0.002,0.296,0.0,0.164,0.453,0.004,0.0,87850000
Wallis and Futuna,0.6,0.974,0.0,0.006,0.0,0.0,0.012,0.008,0.0,10000
Western Sahara,0.1,0.002,0.994,0.004,0.0,0.0,0.0,0.0,0.0,530000
Yemen,0.2,0.002,0.991,0.001,0.006,0.0,0.0,0.0,0.0,24050000
Zambia,0.5,0.976,0.005,0.005,0.001,0.0,0.003,0.009,0.0,13090000
Zimbabwe,2.7,0.87,0.009,0.079,0.0,0.0,0.038,0.003,0.0,12570000
