iso3,country,rdi,christian,muslim,unaffiliated,hindu,buddhist,folk,other,jewish,population,dominant_religion,maj_christian,maj_muslim,maj_unaffiliated,maj_hindu,maj_buddhist,maj_folk,maj_other,maj_jewish
KIR,Kiribati,0.7,0.97,0.0,0.008,0.0,0.0,0.0,0.022,0.0,100000,christian,1,0,0,0,0,0,0,0
XKX,Kosovo,2.6,0.114,0.87,0.016,0.0,0.0,0.0,0.0,0.0,2080000,muslim,0,1,0,0,0,0,0,0
KWT,Kuwait,4.8,0.143,0.741,0.0,0.085,0.028,0.0,0.003,0.0,2740000,muslim,0,1,0,0,0,0,0,0
KGZ,Kyrgyzstan,2.4,0.114,0.88,0.004,0.0,0.0,0.001,0.0,0.0,5330000,muslim,0,1,0,0,0,0,0,0
LAO,Laos,5.4,0.015,0.0,0.009,0.0,0.66,0.307,0.007,0.0,6200000,buddhist,0,0,0,0,1,0,0,0
LVA,Latvia,5.7,0.558,0.001,0.438,0.0,0.0,0.0,0.002,0.0,2250000,christian,1,0,0,0,0,0,0,0
LBN,Lebanon,5.5,0.383,0.613,0.003,0.0,0.002,0.0,0.0,0.0,4230000,muslim,0,1,0,0,0,0,0,0
LSO,Lesotho,0.7,0.968,0.0,0.031,0.0,0.0,0.001,0.0,0.0,2170000,christian,1,0,0,0,0,0,0,0
LBR,Liberia,2.8,0.859,0.12,0.014,0.0,0.0,0.005,0.001,0.0,3990000,christian,1,0,0,0,0,0,0,0
LBY,Libya,0.7,0.027,0.966,0.002,0.0,0.003,0.0,0.0,0.0,6360000,muslim,0,1,0,0,0,0,0,0
LIE,Liechtenstein,1.7,0.919,0.05,0.029,0.0,0.0,0.0,0.0,0.001,40000,christian,1,0,0,0,0,0,0,0
LTU,Lithuania,2.1,0.898,0.0,0.1,0.0,0.0,0.0,0.0,0.0,3320000,christian,1,0,0,0,0,0,0,0
LUX,Luxembourg,4.9,0.704,0.023,0.268,0.0,0.0,0.0,0.003,0.001,510000,christian,1,0,0,0,0,0,0,0
MAC,Macau,6.8,0.072,0.002,0.154,0.0,0.173,0.589,0.01,0.0,540000,folk,0,0,0,0,0,1,0,0
MDG,Madagascar,3.0,0.853,0.03,0.069,0.0,0.0,0.045,0.0,0.0,20710000,christian,1,0,0,0,0,0,0,0
MWI,Malawi,3.4,0.827,0.13,0.025,0.0,0.0,0.017,0.0,0.0,14900000,christian,1,0,0,0,0,0,0,0
MYS,Malaysia,6.3,0.094,0.637,0.007,0.06,0.177,0.023,0.002,0.0,28400000,muslim,0,1,0,0,0,0,0,0
MDV,Maldives,0.4,0.004,0.984,0.0,0.003,0.006,0.0,0.0,0.0,320000,muslim,0,1,0,0,0,0,0,0
MLI,Mali,1.6,0.032,0.924,0.027,0.0,0.0,0.016,0.0,0.0,15370000,muslim,0,1,0,0,0,0,0,0
MLT,Malta,0.7,0.97,0.002,0.025,0.002,0.0,0.0,0.0,0.0,420000,christian,1,0,0,0,0,0,0,0
MHL,Marshall Islands,0.6,0.975,0.0,0.015,0.0,0.0,0.003,0.008,0.0,50000,christian,1,0,0,0,0,0,0,0
MTQ,Martinique,0.8,0.965,0.002,0.023,0.002,0.0,0.002,0.006,0.0,410000,christian,1,0,0,0,0,0,0,0
MRT,Mauritania,0.2,0.003,0.991,0.001,0.0,0.0,0.005,0.0,0.0,3460000,muslim,0,1,0,0,0,0,0,0
MUS,Mauritius,6.7,0.253,0.167,0.006,0.564,0.0,0.007,0.003,0.0,1300000,hindu,0,0,0,1,0,0,0,0
MYT,Mayotte,0.3,0.007,0.986,0.002,0.0,0.0,0.005,0.0,0.0,200000,muslim,0,1,0,0,0,0,0,0
MEX,Mexico,1.1,0.951,0.0,0.047,0.0,0.0,0.0,0.0,0.0,113420000,christian,1,0,0,0,0,0,0,0
MDA,Moldova,0.6,0.974,0.006,0.014,0.0,0.0,0.0,0.0,0.006,3570000,christian,1,0,0,0,0,0,0,0
MCO,Monaco,2.8,0.86,0.004,0.117,0.0,0.0,0.0,0.002,0.017,40000,christian,1,0,0,0,0,0,0,0
MNG,Mongolia,6.5,0.023,0.032,0.359,0.0,0.551,0.035,0.0,0.0,2760000,buddhist,0,0,0,0,1,0,0,0
MNE,Montenegro,4.0,0.781,0.187,0.032,0.0,0.0,0.0,0.0,0.0,630000,christian,1,0,0,0,0,0,0,0
MSR,Montserrat,1.4,0.935,0.0,0.048,0.001,0.0,0.002,0.015,0.0,10000,christian,1,0,0,0,0,0,0,0
MAR,Morocco,0.0,0.0,0.999,0.0,0.0,0.0,0.0,0.0,0.0,31950000,muslim,0,1,0,0,0,0,0,0
MOZ,Mozambique,7.0,0.567,0.18,0.179,0.0,0.0,0.074,0.0,0.0,23390000,christian,1,0,0,0,0,0,0,0
NAM,Namibia,0.6,0.975,0.003,0.019,0.0,0.0,0.002,0.0,0.0,2280000,christian,1,0,0,0,0,0,0,0
NRU,Nauru,4.1,0.79,0.0,0.045,0.0,0.011,0.081,0.074,0.0,10000,christian,1,0,0,0,0,0,0,0
NPL,Nepal,3.8,0.005,0.046,0.003,0.807,0.103,0.037,0.0,0.0,29960000,hindu,0,0,0,1,0,0,0,0
NLD,Netherlands,6.4,0.506,0.06,0.421,0.005,0.002,0.002,0.002,0.002,16610000,christian,1,0,0,0,0,0,0,0
NCL,New Caledonia,3.0,0.852,0.028,0.104,0.0,0.006,0.002,0.008,0.0,250000,christian,1,0,0,0,0,0,0,0
NZL,New Zealand,6.2,0.57,0.012,0.366,0.021,0.016,0.005,0.007,0.002,4370000,christian,1,0,0,0,0,0,0,0
