iso3,countryn,cow,vdem,male_suffrage,female_suffrage,executive_elections,legislative_elections,multi-party_legislative_elections,competitive_elections,lexical_index,political_liberties,lexical_index_plus,democratic_transition,transition_type,democratic_breakdown,breakdown_type,turnover_period,turnover_event,two_turnover_period,sovereign
SWE,Sweden,380,5,1,1,1,1,1,1,6,1,7,0,0,0,0,1,0,1,1
NOR,Norway,385,186,1,1,1,1,1,1,6,1,7,0,0,0,0,1,1,1,1
DNK,Denmark,390,158,1,1,1,1,1,1,6,1,7,0,0,0,0,1,0,1,1
ISL,Iceland,395,168,1,1,1,1,1,1,6,1,7,0,0,0,0,1,0,1,1
CPV,Cape Verde,402,70,1,1,1,1,1,1,6,1,7,0,0,0,0,1,1,1,1
STP,Sao Tome and Principe,403,196,1,1,1,1,1,1,6,1,7,0,0,0,0,1,1,1,1
GNB,Guinea-Bissau,404,119,1,1,1,1,1,1,6,0,6,0,0,0,0,0,0,0,1
GNQ,Equatorial Guinea,411,160,1,1,1,1,1,0,3,0,3,0,0,0,0,0,0,0,1
GMB,Gambia,420,117,1,1,1,1,1,1,6,0,6,0,0,0,0,1,0,0,1
MLI,Mali,432,28,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SEN,Senegal,433,31,1,1,1,1,1,1,6,0,6,0,0,0,0,1,0,1,1
BEN,Benin,434,52,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1
MRT,Mauritania,435,65,1,1,1,1,1,0,3,0,3,0,0,0,0,0,0,0,1
NER,Niger,436,60,1,1,1,1,1,1,6,0,6,1,1,0,0,1,1,0,1
CIV,Cote d'Ivoire,437,64,1,1,1,1,1,0,3,0,3,0,0,0,0,0,0,0,1
GIN,Guinea,438,63,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BFA,Burkina Faso,439,54,1,1,1,1,1,1,6,0,6,0,0,0,0,1,0,0,1
LBR,Liberia,450,86,1,1,1,1,1,1,6,0,6,0,0,0,0,1,0,0,1
SLE,Sierra Leone,451,95,1,1,1,1,1,1,6,0,6,0,0,0,0,1,0,1,1
GHA,Ghana,452,7,1,1,1,1,1,1,6,1,7,0,0,0,0,1,0,1,1
TGO,Togo,461,134,1,1,1,1,1,0,3,0,3,0,0,0,0,0,0,0,1
CMR,Cameroon,471,108,1,1,1,1,1,0,3,0,3,0,0,0,0,0,0,0,1
NGA,Nigeria,475,45,1,1,1,1,1,0,3,0,3,0,0,0,0,1,0,0,1
GAB,Gabon,481,116,1,1,1,1,1,0,3,0,3,0,0,0,0,0,0,0,1
CAF,Central African Republic,482,71,1,1,1,1,1,0,3,0,3,0,0,0,0,0,0,0,1
TCD,Chad,483,109,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
COG,Congo Brazzaville,484,112,1,1,1,1,1,0,3,0,3,0,0,0,0,0,0,0,1
COD,"Congo, Democratic Republic",490,111,1,1,1,1,1,0,3,0,3,0,0,0,0,0,0,0,1
UGA,Uganda,500,50,1,1,1,1,1,0,3,0,3,0,0,0,0,0,0,0,1
KEN,Kenya,501,40,1,1,1,1,1,1,6,0,6,0,0,0,0,1,0,1,1
TZA,Tanzania,510,47,1,1,1,1,1,0,3,0,3,0,0,0,0,0,0,0,1
BDI,Burundi,516,69,1,1,1,1,1,0,3,0,3,0,0,0,0,0,0,0,1
RWA,Rwanda,517,129,1,1,1,1,1,0,3,0,3,0,0,0,0,0,0,0,1
SOM,Somalia,520,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SOM,Somaliland,521,139,1,1,1,1,1,1,6,0,6,1,2,0,0,0,0,0,0
DJI,Djibouti,522,113,1,1,1,1,1,0,3,0,3,0,0,0,0,0,0,0,1
ETH,Ethiopia,530,38,1,1,1,1,1,0,3,0,3,0,0,0,0,0,0,0,1
ERI,Eritrea,531,115,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AGO,Angola,540,104,1,1,1,1,1,0,3,0,3,0,0,0,0,0,0,0,1
MOZ,Mozambique,541,57,1,1,1,1,1,0,3,0,3,0,0,0,0,0,0,0,1
ZMB,Zambia,551,61,1,1,1,1,1,1,6,0,6,1,2,0,0,1,1,1,1
ZWE,Zimbabwe,552,62,1,1,1,1,1,0,3,0,3,0,0,0,0,0,0,0,1
MWI,Malawi,553,87,1,1,1,1,1,1,6,0,6,0,0,0,0,1,0,1,1
ZAF,South Africa,560,8,1,1,1,1,1,1,6,1,7,0,0,0,0,1,0,1,1
NAM,Namibia,565,127,1,1,1,1,1,1,6,1,7,0,0,0,0,0,0,0,1
LSO,Lesotho,570,85,1,1,1,1,1,1,6,0,6,0,0,0,0,1,0,1,1
