iso3,country,ccode,abbreviation,abbreviation_undp,democracy,democracy_trans,democracy_breakdowns,democracy_duration,democracy_omitteddata,democracy_femalesuffrage
UKR,UKRAINE,369,UKR,UKR,1.0,0,0,15,1,1
BLR,BELARUS,370,BLR,BLR,0.0,0,1,12,0,0
ARM,ARMENIA,371,ARM,ARM,0.0,0,0,15,0,0
GEO,GEORGIA,372,GEO,GRG,1.0,0,0,2,1,1
AZE,AZERBAIJAN,373,AZE,AZE,0.0,0,0,15,0,0
FIN,FINLAND,375,FIN,FIN,1.0,0,0,89,1,1
SWE,SWEDEN,380,SWE,SWE,1.0,0,0,95,1,1
NOR,NORWAY,385,NOR,NOR,1.0,0,0,106,1,1
DNK,DENMARK,390,DNK,DEN,1.0,0,1,61,1,1
ISL,ICELAND,395,ISL,ICE,1.0,0,0,88,1,1
CPV,CAPE VERDE,402,CPV,CPV,1.0,0,0,15,1,1
STP,SAO TOME & PRINCIPE,403,STP,STP,1.0,0,0,15,1,1
GNB,GUINEA-BISSAU,404,GNB,GNB,0.0,0,1,8,0,0
GNQ,EQUATORIAL GUINEA,411,GNQ,EQG,0.0,0,0,38,0,0
GMB,GAMBIA,420,GMB,GAM,0.0,0,1,12,0,0
MLI,MALI,432,MLI,MLI,1.0,0,0,14,1,1
SEN,SENEGAL,433,SEN,SEN,1.0,0,0,6,1,1
BEN,BENIN,434,BEN,BEN,1.0,0,0,15,1,1
MRT,MAURITANIA,435,MRT,MAA,0.0,0,0,46,0,0
NER,NIGER,436,NER,NIR,1.0,0,1,7,1,1
CIV,COTE D'IVOIRE,437,CIV,IVO,0.0,0,0,46,0,0
GIN,GUINEA,438,GIN,GUI,0.0,0,0,48,0,0
BFA,BURKINA FASO,439,BFA,BFO,0.0,0,0,46,0,0
LBR,LIBERIA,450,LBR,LBR,0.0,0,0,159,0,0
SLE,SIERRA LEONE,451,SLE,SIE,1.0,0,1,4,1,1
GHA,GHANA,452,GHA,GHA,1.0,0,2,9,1,1
TGO,TOGO,461,TGO,TOG,0.0,0,0,46,0,0
CMR,CAMEROON,471,CMR,CAO,0.0,0,0,46,0,0
NGA,NIGERIA,475,NGA,NIG,0.0,0,2,23,0,0
GAB,GABON,481,GAB,GAB,0.0,0,0,46,0,0
